ID,Título,Autor,Ano,Preço,Ações
1,O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,1954,89.90,Editar/Excluir
2,1984,George Orwell,1949,39.90,Editar/Excluir
3,Dom Casmurro,Machado de Assis,1899,29.90,Editar/Excluir
4,A Revolução dos Bichos,George Orwell,1945,29.90,Editar/Excluir
5,O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,24.90,Editar/Excluir
6,Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,49.90,Editar/Excluir
7,O Código da Vinci,Dan Brown,2003,34.90,Editar/Excluir
8,Orgulho e Preconceito,Jane Austen,1813,27.90,Editar/Excluir
9,O Apanhador no Campo de Centeio,J.D. Salinger,1951,32.90,Editar/Excluir
10,A Menina que Roubava Livros,Markus Zusak,2005,37.90,Editar/Excluir
11,O Nome do Vento,Patrick Rothfuss,2007,54.90,Editar/Excluir
12,A Cabana,William P. Young,2007,29.90,Editar/Excluir
13,It: A Coisa,Stephen King,1986,44.90,Editar/Excluir
14,O Guia do Mochileiro das Galáxias,Douglas Adams,1979,35.90,Editar/Excluir
15,O Hobbit,J.R.R. Tolkien,1937,42.90,Editar/Excluir
